AE/BNB,2
RPX/BNB,2
NCASH/BNB,2
POA/BNB,2
ZIL/BNB,2
ONT/BNB,2
STORM/BNB,2
QTUM/BNB,2
XEM/BNB,2
WAN/BNB,2
SYS/BNB,2
BTC/USDT,6
ETH/USDT,5
BNB/USDT,2
BCC/USDT,5
NEO/USDT,3
LTC/USDT,5
QTUM/USDT,3
QLC/BNB,2
ADA/USDT,2
ADA/BNB,2
ADA/ETH,0
GNT/BNB,0
CLOAK/ETH,2
CLOAK/BTC,2
GNT/ETH,0
LOOM/ETH,0
LOOM/BNB,2
GNT/BTC,0
LOOM/BTC,0
XRP/USDT,2
ADA/BTC,0
BCN/BTC,0
BCN/ETH,0
REP/ETH,3
REP/BNB,3
REP/BTC,3
TUSD/BNB,2
TUSD/ETH,0
TUSD/BTC,0
ZEN/BNB,3
ZEN/ETH,3
ZEN/BTC,3
NAS/BNB,1
NAS/ETH,2
NAS/BTC,2
BCN/BNB,0
DOCK/ETH,0
DOCK/BTC,0
DENT/ETH,0
DENT/BTC,0
NPXS/BTC,0
NPXS/ETH,0
HOT/BTC,0
HOT/ETH,0
KEY/BTC,0
KEY/ETH,0
SC/BTC,0
SC/ETH,0
SC/BNB,0
ARDR/BNB,1
ARDR/BTC,0
ARDR/ETH,0
PHX/BTC,0
PHX/ETH,0
PHX/BNB,0
VET/ETH,0
VET/BTC,0
DATA/ETH,0
DATA/BTC,0
GAS/BTC,2
MFT/ETH,0
MFT/BTC,0
POLY/BTC,0
HC/BTC,2
HC/ETH,2
