TRX/ETH,0.00000001,8
POWR/ETH,0.00000001,8
ARK/ETH,0.000001,6
YOYO/ETH,0.00000001,8
XRP/ETH,0.00000001,8
MOD/ETH,0.000001,6
ENJ/ETH,0.00000001,8
STORJ/ETH,0.0000001,7
VEN/ETH,0.00000001,8
KMD/ETH,0.000001,6
RCN/ETH,0.00000001,8
NULS/ETH,0.00000001,8
RDN/ETH,0.0000001,7
XMR/ETH,0.00001,5
DLT/ETH,0.00000001,8
AMB/ETH,0.00000001,8
BCC/ETH,0.00001,5
BAT/ETH,0.00000001,8
ZEC/ETH,0.00001,5
BCPT/ETH,0.00000001,8
ARN/ETH,0.00000001,8
GVT/ETH,0.000001,6
CDT/ETH,0.00000001,8
GXS/ETH,0.000001,6
POE/ETH,0.00000001,8
QSP/ETH,0.00000001,8
BTS/ETH,0.00000001,8
XZC/ETH,0.000001,6
LSK/ETH,0.000001,6
TNT/ETH,0.00000001,8
FUEL/ETH,0.00000001,8
MANA/ETH,0.00000001,8
BCD/ETH,0.00001,5
DGD/ETH,0.00001,5
ADX/ETH,0.0000001,7
ADA/ETH,0.00000001,8
PPT/ETH,0.000001,6
CMT/ETH,0.00000001,8
XLM/ETH,0.00000001,8
CND/ETH,0.00000001,8
LEND/ETH,0.00000001,8
WABI/ETH,0.00000001,8
LTC/ETH,0.00001,5
TNB/ETH,0.00000001,8
WAVES/ETH,0.000001,6
ICX/ETH,0.000001,6
GTO/ETH,0.00000001,8
OST/ETH,0.00000001,8
ELF/ETH,0.00000001,8
AION/ETH,0.000001,6
NEBL/ETH,0.000001,6
BRD/ETH,0.0000001,7
EDO/ETH,0.000001,6
WINGS/ETH,0.0000001,7
NAV/ETH,0.000001,6
LUN/ETH,0.000001,6
TRIG/ETH,0.000001,6
APPC/ETH,0.0000001,7
VIBE/ETH,0.0000001,7
RLC/ETH,0.000001,6
INS/ETH,0.000001,6
PIVX/ETH,0.000001,6
IOST/ETH,0.00000001,8
CHAT/ETH,0.00000001,8
STEEM/ETH,0.000001,6
NANO/ETH,0.000001,6
VIA/ETH,0.000001,6
BLZ/ETH,0.00000001,8
AE/ETH,0.000001,6
RPX/ETH,0.00000001,8
NCASH/ETH,0.00000001,8
POA/ETH,0.00000001,8
ZIL/ETH,0.00000001,8
ONT/ETH,0.000001,6
STORM/ETH,0.00000001,8
XEM/ETH,0.00000001,8
WAN/ETH,0.000001,6
QLC/ETH,0.00000001,8
SYS/ETH,0.00000001,8
WPR/ETH,0.00000001,8
GRS/ETH,0.00000001,8
VEN/BNB,0.0001,4
YOYO/BNB,0.00001,5
POWR/BNB,0.00001,5
NULS/BNB,0.00001,5
RCN/BNB,0.00001,5
RDN/BNB,0.00001,5
DLT/BNB,0.00001,5
WTC/BNB,0.00001,5
AMB/BNB,0.00001,5
BCC/BNB,0.01,2
BAT/BNB,0.00001,5
BCPT/BNB,0.00001,5
NEO/BNB,0.001,3
QSP/BNB,0.00001,5
BTS/BNB,0.00001,5
XZC/BNB,0.001,3
LSK/BNB,0.0001,4
IOTA/BNB,0.00001,5
ADX/BNB,0.00001,5
CMT/BNB,0.00001,5
XLM/BNB,0.00001,5
CND/BNB,0.00001,5
WABI/BNB,0.00001,5
LTC/BNB,0.01,2
WAVES/BNB,0.0001,4
ICX/BNB,0.00001,5
GTO/BNB,0.00001,5
OST/BNB,0.00001,5
AION/BNB,0.00001,5
NEBL/BNB,0.00001,5
BRD/BNB,0.00001,5
MCO/BNB,0.00001,5
NAV/BNB,0.00001,5
TRIG/BNB,0.00001,5
APPC/BNB,0.00001,5
RLC/BNB,0.00001,5
PIVX/BNB,0.00001,5
STEEM/BNB,0.00001,5
NANO/BNB,0.0001,4
VIA/BNB,0.00001,5
BLZ/BNB,0.00001,5
AE/BNB,0.00001,5
RPX/BNB,0.00001,5
NCASH/BNB,0.00001,5
POA/BNB,0.00001,5
ZIL/BNB,0.00001,5
ONT/BNB,0.00001,5
STORM/BNB,0.00001,5
QTUM/BNB,0.00001,5
XEM/BNB,0.00001,5
WAN/BNB,0.00001,5
SYS/BNB,0.00001,5
BTC/USDT,0.01,2
ETH/USDT,0.01,2
BNB/USDT,0.0001,4
BCC/USDT,0.01,2
NEO/USDT,0.001,3
LTC/USDT,0.01,2
QTUM/USDT,0.01,2
QLC/BNB,0.00001,5
ADA/BNB,0.00001,5
ADA/USDT,0.00001,5
ADA/ETH,0.00000001,8
CLOAK/ETH,0.000001,6
CLOAK/BTC,0.0000001,7
GNT/BTC,0.00000001,8
GNT/BNB,0.00001,5
GNT/ETH,0.00000001,8
LOOM/BTC,0.00000001,8
LOOM/ETH,0.00000001,8
LOOM/BNB,0.00001,5
XRP/USDT,0.00001,5
ADA/BTC,0.00000001,8
TUSD/BTC,0.00000001,8
REP/BNB,0.001,3
REP/ETH,0.000001,6
BCN/BTC,0.00000001,8
TUSD/ETH,0.00000001,8
TUSD/BNB,0.0001,5
ZEN/BNB,0.001,3
ZEN/ETH,0.00001,5
ZEN/BTC,0.000001,6
REP/BTC,0.000001,6
BCN/ETH,0.00000001,8
BCN/BNB,0.000001,6
