9/5/18 14:26,BTC  NEO  ETH  VIA  BTC  ,0.01570151,"Total Bitcoin Value (without using bot): 0.39109842862298105, USD Value Equivalent: 2723.409996731842",1,BINANCE"2018/09/05 14:33:06","BTC  BCD  ETH  USDT  BNB  WAVES  BTC  ","0.01570388","Total Bitcoin Value (without using bot): 0.39051180596992996, USD Value Equivalent: 2711.9326672665366","1","BINANCE"
"2018/09/06 12:44:54","BTC  WAN  ETH  USDT  BTC  ","0.00655342","Total Bitcoin Value (without using bot): 0.3922900620767022, USD Value Equivalent: 2529.823689723962","BINANCE ACCOUNT VALUE:2558.9221261133USD, 0.3968022450655309BTC","1","BINANCE"
"2018/09/06 12:45:22","BTC  AE  ETH  USDT  QTUM  BTC  ","0.00655342","Total Bitcoin Value (without using bot): 0.3923868597878515, USD Value Equivalent: 2533.2593764618637","BINANCE ACCOUNT VALUE:2561.92298352289USD, 0.3968266825984859BTC","1","BINANCE"
"2018/09/06 12:45:24","BTC  NEBL  ETH  USDT  BTC  ","0.00655342","Total Bitcoin Value (without using bot): 0.39254061665825074, USD Value Equivalent: 2535.3511483877264","BINANCE ACCOUNT VALUE:2563.3590475470883USD, 0.3968769935006891BTC","1","BINANCE"
"2018/09/06 12:45:30","BTC  NEO  ETH  SALT  BTC  ","0.00655342","Total Bitcoin Value (without using bot): 0.3925867593055843, USD Value Equivalent: 2538.927275112092","BINANCE ACCOUNT VALUE:2566.9694980991476USD, 0.3969228446886233BTC","1","BINANCE"
"2018/09/06 12:46:03","BTC  KMD  ETH  USDT  BTC  ","0.00655342","Total Bitcoin Value (without using bot): 0.3929259226809281, USD Value Equivalent: 2539.142321993332","BINANCE ACCOUNT VALUE:2567.2104852814437USD, 0.3972694007374405BTC","1","BINANCE"
"2018/09/06 12:46:04","BTC  EDO  ETH  USDT  BTC  ","0.00655342","Total Bitcoin Value (without using bot): 0.392958540565175, USD Value Equivalent: 2539.4867092316317","BINANCE ACCOUNT VALUE:2567.4767989397906USD, 0.3972897090497442BTC","1","BINANCE"
"2018/09/06 12:46:24","BTC  VIA  ETH  BTC  ","0.00655342","Total Bitcoin Value (without using bot): 0.3930219081987521, USD Value Equivalent: 2541.517436667591","BINANCE ACCOUNT VALUE:2569.5312198724328USD, 0.3973539778403711BTC","1","BINANCE"
"2018/09/06 12:46:56","BTC  STEEM  ETH  BTC  ","0.00655342","Total Bitcoin Value (without using bot): 0.3931187116179231, USD Value Equivalent: 2541.01124425256","BINANCE ACCOUNT VALUE:2569.193942786923USD, 0.39747884428668034BTC","1","BINANCE"
"2018/09/06 12:49:56","BTC  LUN  ETH  USDT  BTC  ","0.00655342","Total Bitcoin Value (without using bot): 0.3934360053768197, USD Value Equivalent: 2547.2679747517627","BINANCE ACCOUNT VALUE:2574.739122713147USD, 0.3976790370578881BTC","1","BINANCE"
"2018/09/06 12:50:27","BTC  ZEN  ETH  REP  BTC  ","0.00655342","Total Bitcoin Value (without using bot): 0.39345272159717054, USD Value Equivalent: 2548.8260757786306","BINANCE ACCOUNT VALUE:2576.7237052068367USD, 0.3977591740181282BTC","1","BINANCE"
